,datetime,hour,season,holiday,weekday,workingday,weather situation,temperature in celsius,atemp,humidity,windspeed,count,year,month,day
111,2012-07-10,8,3,0,2,1,1,0.05,0.484027778,0.051388889,0.932638889,649,2012,7,10
112,2012-08-23,10,3,0,4,1,1,0.051388889,4.734722222,0.58,0.622222222,233,2012,8,23
113,2011-10-14,7,4,0,5,1,3,0.56,3.682638889,0.061111111,0.134722222,147,2011,10,14
114,2012-06-29,4,3,0,5,1,1,0.07,4.524305556,0.045138889,1.140277778,10,2012,6,29
115,2012-12-14,2,4,0,5,1,1,0.22,1.89375,0.047916667,0.0,9,2012,12,14
116,2011-05-22,17,2,0,0,0,1,0.07,4.524305556,0.58,1.761805556,306,2011,5,22
117,2012-04-08,21,2,0,0,0,1,0.52,0.05,0.34,1.554861111,130,2012,4,8
118,2012-12-23,14,1,0,0,0,1,0.34,0.210416667,0.31,2.072916667,175,2012,12,23
119,2011-05-20,8,2,0,5,1,1,0.54,3.577777778,0.047222222,0.0,517,2011,5,20
120,2011-03-23,8,2,0,3,1,2,0.32,2.209722222,0.060416667,0.134722222,261,2011,3,23
121,2011-11-20,14,4,0,0,0,1,0.52,0.05,0.04375,1.761805556,363,2011,11,20
122,2012-03-06,4,1,0,2,1,1,0.18,1.157638889,0.51,2.072916667,3,2012,3,6
123,2012-02-29,10,1,0,3,1,3,0.03,0.210416667,0.05625,1.140277778,10,2012,2,29
124,2011-01-14,12,1,0,5,1,1,0.02,0.136805556,0.44,1.761805556,61,2011,1,14
125,2011-06-09,10,2,0,4,1,1,0.059722222,5.681944444,0.05,1.969444444,94,2011,6,9
126,2012-03-25,19,2,0,0,0,1,0.05,3.366666667,0.05,1.761805556,375,2012,3,25
127,2011-12-06,12,4,0,2,1,3,0.46,3.15625,1.0,1.554861111,55,2011,12,6
128,2011-05-04,7,2,0,3,1,3,0.34,0.210416667,0.064583333,2.4875,52,2011,5,4
129,2012-07-22,15,3,0,0,0,1,0.05,4.734722222,0.045833333,0.725694444,624,2012,7,22
130,2012-12-10,13,4,0,1,1,3,0.44,3.051388889,1.0,1.554861111,220,2012,12,10
131,2011-03-27,11,2,0,0,0,2,0.24,1.683333333,0.48,1.140277778,108,2011,3,27
132,2012-02-07,10,1,0,2,1,1,0.34,2.314583333,0.46,1.140277778,116,2012,2,7
133,2012-10-31,16,4,0,3,1,2,0.42,2.945833333,0.54,1.554861111,424,2012,10,31
134,2011-07-07,18,3,0,4,1,1,0.058333333,5.261111111,0.44,2.072916667,562,2011,7,7
135,2012-04-08,18,2,0,0,0,1,0.043055556,4.209027778,0.25,2.280555556,310,2012,4,8
136,2012-11-14,5,4,0,3,1,1,0.22,1.578472222,0.047916667,0.134722222,39,2012,11,14
137,2012-01-28,6,1,0,6,0,1,0.24,1.999305556,0.07,0.0,15,2012,1,28
138,2011-10-19,8,4,0,3,1,3,0.54,3.577777778,0.07,3.420138889,210,2011,10,19
139,2012-03-05,21,1,0,1,1,1,0.26,1.578472222,0.37,2.695138889,120,2012,3,5
140,2012-08-21,1,3,0,2,1,2,0.06,3.893055556,0.057638889,0.932638889,33,2012,8,21
141,2012-05-10,2,2,0,4,1,2,0.48,3.261805556,0.061111111,0.725694444,3,2012,5,10
142,2012-07-28,11,3,0,6,0,1,0.058333333,5.155555556,0.39,1.554861111,457,2012,7,28
143,2011-01-20,3,1,0,4,1,1,0.26,1.788888889,0.56,1.140277778,1,2011,1,20
144,2012-05-20,1,2,0,0,0,1,0.56,3.682638889,0.52,0.0,130,2012,5,20
145,2011-10-29,13,4,0,6,0,3,0.24,0.136805556,0.060416667,3.627777778,30,2011,10,29
146,2012-11-25,19,4,0,0,0,1,0.26,0.210416667,0.41,0.0,127,2012,11,25
147,2012-12-30,6,1,0,0,0,2,0.24,0.136805556,0.52,2.902083333,8,2012,12,30
148,2012-06-23,17,3,0,6,0,1,0.056944444,4.945138889,0.26,1.761805556,530,2012,6,23
149,2012-11-28,23,4,0,3,1,1,0.26,1.89375,0.48,0.932638889,78,2012,11,28
150,2011-03-10,13,1,0,4,1,3,0.42,2.945833333,0.0,1.554861111,12,2011,3,10
151,2011-03-16,6,1,0,3,1,2,0.03,2.209722222,0.064583333,0.725694444,31,2011,3,16
152,2012-05-12,18,2,0,6,0,2,0.045833333,4.313888889,0.31,0.134722222,546,2012,5,12
153,2011-08-16,14,3,0,2,1,1,0.052777778,4.734722222,0.45,2.902083333,182,2011,8,16
154,2011-06-04,23,2,0,6,0,2,0.044444444,4.313888889,0.57,0.0,150,2011,6,4
155,2012-07-21,18,3,0,6,0,2,0.06,3.788194444,0.061111111,0.134722222,177,2012,7,21
156,2011-01-23,9,1,0,0,0,1,0.01,0.526388889,0.54,2.4875,28,2011,1,23
157,2011-09-16,23,3,0,5,1,1,0.05,3.366666667,0.59,0.0,126,2011,9,16
158,2011-03-09,10,1,0,3,1,2,0.03,1.999305556,0.052083333,1.761805556,57,2011,3,9
159,2011-03-26,20,2,0,6,0,2,0.28,1.89375,0.45,1.761805556,85,2011,3,26
160,2011-05-03,9,2,0,2,1,2,0.06,3.998611111,0.054166667,2.4875,186,2011,5,3
161,2011-06-14,1,2,0,2,1,1,0.06,4.313888889,0.49,1.761805556,13,2011,6,14
162,2012-02-01,22,1,0,3,1,1,0.05,3.366666667,0.55,0.134722222,140,2012,2,1
163,2011-04-06,19,2,0,3,1,1,0.05,3.366666667,0.31,2.072916667,232,2011,4,6
164,2011-10-04,8,4,0,2,1,1,0.44,3.051388889,0.053472222,1.554861111,400,2011,10,4
165,2012-09-04,11,3,0,2,1,2,0.051388889,0.484027778,0.07,1.969444444,198,2012,9,4
166,2011-01-20,14,1,0,4,1,2,0.03,0.210416667,0.45,0.932638889,81,2011,1,20
167,2011-11-13,12,4,0,0,0,2,0.52,0.05,0.29,2.902083333,354,2011,11,13
168,2011-05-09,0,2,0,1,1,1,0.46,3.15625,0.056944444,0.622222222,53,2011,5,9
169,2011-08-26,20,3,0,5,1,1,0.05,0.484027778,0.054861111,0.622222222,222,2011,8,26
170,2012-11-05,8,4,0,1,1,2,0.03,1.999305556,0.49,1.554861111,648,2012,11,5
171,2012-09-28,1,4,0,5,1,3,0.06,3.788194444,0.061111111,0.0,13,2012,9,28
172,2011-07-01,19,3,0,5,1,1,0.054166667,4.629861111,0.25,0.134722222,318,2011,7,1
173,2011-01-15,21,1,0,6,0,2,0.32,0.210416667,0.39,1.554861111,57,2011,1,15
174,2012-07-21,13,3,0,6,0,3,0.06,3.893055556,0.057638889,1.140277778,354,2012,7,21
175,2011-03-15,12,1,0,2,1,2,0.36,2.420138889,0.05,1.554861111,102,2011,3,15
176,2012-05-14,22,2,0,1,1,2,0.58,3.788194444,0.054166667,0.622222222,129,2012,5,14
177,2012-09-20,19,3,0,4,1,1,0.58,3.788194444,0.06,1.554861111,603,2012,9,20
178,2011-12-11,2,4,0,0,0,1,0.18,1.157638889,0.55,1.761805556,52,2011,12,11
179,2012-04-30,6,2,0,1,1,1,0.04,2.840972222,0.47,0.134722222,123,2012,4,30
180,2011-07-22,13,3,0,5,1,1,0.065277778,6.838888889,0.51,1.140277778,123,2011,7,22
181,2012-10-05,21,4,0,5,1,1,0.06,4.103472222,0.047916667,1.554861111,267,2012,10,5
182,2012-01-28,23,1,0,6,0,1,0.32,2.209722222,0.31,0.134722222,85,2012,1,28
183,2011-03-03,3,1,0,4,1,1,0.02,1.157638889,0.27,3.213194444,1,2011,3,3
184,2012-01-07,2,1,0,6,0,1,0.36,2.525,0.05,0.725694444,38,2012,1,7
185,2012-04-19,1,2,0,4,1,3,0.42,2.945833333,0.053472222,0.725694444,13,2012,4,19
186,2012-07-22,5,3,0,0,0,1,0.06,3.788194444,0.061111111,0.0,6,2012,7,22
187,2011-01-02,18,1,0,0,0,2,0.36,2.314583333,0.46,2.280555556,53,2011,1,2
188,2011-03-08,15,1,0,2,1,2,0.36,2.630555556,0.18,0.0,112,2011,3,8
189,2011-03-16,5,1,0,3,1,2,0.03,2.209722222,0.064583333,0.725694444,3,2011,3,16
190,2012-11-10,7,4,0,6,0,1,0.26,1.89375,0.060416667,0.725694444,71,2012,11,10
191,2012-06-03,13,2,0,0,0,1,0.047222222,4.419444444,0.36,1.969444444,686,2012,6,3
192,2011-11-21,12,4,0,1,1,2,0.05,3.366666667,0.053472222,0.932638889,162,2011,11,21
193,2011-07-07,5,3,0,4,1,1,0.044444444,3.998611111,0.061805556,0.725694444,32,2011,7,7
194,2011-12-25,10,1,0,0,0,1,0.26,1.683333333,0.05625,1.761805556,43,2011,12,25
195,2012-07-13,5,3,0,5,1,2,0.045833333,4.419444444,0.56,0.622222222,34,2012,7,13
196,2012-04-10,10,2,0,2,1,1,0.46,3.15625,0.47,1.140277778,181,2012,4,10
197,2012-10-14,17,4,0,0,0,1,0.044444444,4.313888889,0.44,0.134722222,539,2012,10,14
198,2012-08-13,8,3,0,1,1,2,0.05,4.629861111,0.51,0.622222222,673,2012,8,13
199,2012-02-19,14,1,0,0,0,2,0.32,2.209722222,0.45,0.134722222,237,2012,2,19
200,2012-02-03,21,1,0,5,1,1,0.34,2.420138889,0.49,0.725694444,134,2012,2,3
201,2012-04-24,2,2,0,2,1,1,0.32,2.209722222,0.05625,0.134722222,3,2012,4,24
202,2011-10-23,4,4,0,0,0,1,0.34,2.525,0.060416667,0.0,6,2011,10,23
203,2012-07-23,17,3,0,1,1,1,0.056944444,5.365972222,0.52,0.932638889,847,2012,7,23
204,2012-07-22,1,3,0,0,0,2,0.06,3.788194444,0.061111111,1.140277778,130,2012,7,22
205,2011-11-10,9,4,0,4,1,2,0.42,2.945833333,0.065277778,0.725694444,211,2011,11,10
206,2012-08-12,23,3,0,0,0,1,0.047222222,4.419444444,0.042361111,0.0,110,2012,8,12
207,2011-05-13,21,2,0,5,1,2,0.52,0.05,0.058333333,1.140277778,154,2011,5,13
208,2011-11-03,20,4,0,4,1,1,0.42,2.945833333,0.049305556,0.725694444,209,2011,11,3
209,2011-11-14,12,4,0,1,1,1,0.56,3.682638889,0.56,2.072916667,202,2011,11,14
210,2012-03-13,6,1,0,2,1,3,0.46,3.15625,0.056944444,0.134722222,113,2012,3,13
211,2012-02-02,18,1,0,4,1,1,0.04,2.840972222,0.43,3.213194444,410,2012,2,2
212,2012-10-09,3,4,0,2,1,3,0.36,2.314583333,0.060416667,1.969444444,3,2012,10,9
213,2011-05-03,8,2,0,2,1,2,0.56,3.682638889,0.057638889,1.969444444,459,2011,5,3
214,2011-04-21,15,2,0,4,1,1,0.52,0.05,0.29,2.902083333,235,2011,4,21
215,2012-01-18,6,1,0,3,1,1,0.34,1.999305556,0.36,3.627777778,88,2012,1,18
216,2012-08-08,23,3,0,3,1,1,0.05,4.734722222,0.07,0.932638889,136,2012,8,8
217,2012-01-07,13,1,0,6,0,1,0.44,3.051388889,0.44,0.134722222,445,2012,1,7
218,2012-10-26,6,4,0,5,1,2,0.52,0.05,0.061111111,0.622222222,144,2012,10,26
219,2012-07-03,7,3,0,2,1,1,0.051388889,4.734722222,0.58,0.0,483,2012,7,3
220,2012-02-21,11,1,0,2,1,2,0.26,1.683333333,0.07,1.969444444,86,2012,2,21
221,2011-12-06,17,4,0,2,1,2,0.46,3.15625,1.0,1.554861111,262,2011,12,6
222,2011-10-12,2,4,0,3,1,2,0.56,3.682638889,0.057638889,1.969444444,2,2011,10,12
223,2012-05-01,13,2,0,2,1,2,0.05,4.629861111,0.51,1.554861111,249,2012,5,1
224,2012-01-02,18,1,1,1,0,1,0.26,1.683333333,0.33,1.761805556,126,2012,1,2
225,2011-01-28,22,1,0,5,1,1,0.24,1.472916667,0.045138889,2.4875,26,2011,1,28
226,2011-11-18,5,4,0,5,1,1,0.22,1.578472222,0.44,0.932638889,22,2011,11,18
227,2012-07-18,4,3,0,3,1,1,0.05,4.734722222,0.07,0.932638889,6,2012,7,18
228,2011-07-14,23,3,0,4,1,1,0.044444444,4.209027778,0.045138889,1.761805556,124,2011,7,14
229,2012-03-30,15,2,0,5,1,3,0.42,2.945833333,0.54,0.0,280,2012,3,30
230,2012-09-27,19,4,0,4,1,1,0.045833333,4.313888889,0.045138889,0.932638889,559,2012,9,27
231,2011-12-27,23,1,0,2,1,1,0.03,0.210416667,0.064583333,0.932638889,26,2011,12,27
232,2012-11-04,15,4,0,0,0,1,0.04,2.840972222,0.04,1.554861111,449,2012,11,4
233,2011-12-28,14,1,0,3,1,1,0.32,1.999305556,0.39,2.695138889,120,2011,12,28
234,2012-05-18,20,2,0,5,1,1,0.043055556,4.313888889,0.41,1.140277778,337,2012,5,18
235,2011-10-02,14,4,0,0,0,3,0.36,2.420138889,0.05625,1.140277778,256,2011,10,2
236,2011-03-28,20,2,0,1,1,1,0.32,2.314583333,0.22,0.725694444,112,2011,3,28
237,2011-02-25,21,1,0,5,1,1,0.28,1.788888889,0.48,2.695138889,63,2011,2,25
238,2011-06-05,11,2,0,0,0,2,0.044444444,4.209027778,0.047916667,0.725694444,335,2011,6,5
239,2012-09-25,5,4,0,2,1,1,0.42,2.945833333,0.053472222,0.622222222,47,2012,9,25
240,2011-11-07,8,4,0,1,1,2,0.03,2.209722222,1.0,0.622222222,410,2011,11,7
241,2012-12-05,9,4,0,3,1,2,0.44,3.051388889,0.51,1.554861111,388,2012,12,5
242,2012-05-13,13,2,0,0,0,1,0.047222222,4.419444444,0.54,1.761805556,602,2012,5,13
243,2011-02-27,2,1,0,0,0,1,0.26,1.89375,0.060416667,0.932638889,22,2011,2,27
244,2012-02-02,21,1,0,4,1,1,0.34,0.210416667,0.46,2.902083333,148,2012,2,2
245,2011-04-19,1,2,0,2,1,1,0.46,3.15625,0.04375,1.554861111,7,2011,4,19
246,2011-09-24,18,4,0,6,0,1,0.044444444,4.103472222,0.054166667,0.725694444,400,2011,9,24
247,2011-04-24,10,2,0,0,0,1,0.06,3.998611111,0.054166667,1.140277778,289,2011,4,24
248,2011-07-13,14,3,0,3,1,3,0.056944444,5.261111111,0.46,0.932638889,116,2011,7,13
249,2011-10-13,6,4,0,4,1,3,0.54,3.577777778,1.0,0.622222222,52,2011,10,13
250,2012-03-27,20,2,0,2,1,1,0.42,2.945833333,0.17,0.622222222,294,2012,3,27
251,2012-12-29,11,1,0,6,0,3,0.02,1.683333333,0.064583333,0.622222222,45,2012,12,29
252,2011-04-23,2,2,0,6,0,3,0.32,2.314583333,1.0,0.932638889,17,2011,4,23
253,2012-04-18,23,2,0,3,1,2,0.42,2.945833333,0.053472222,0.0,70,2012,4,18
254,2011-01-29,17,1,0,6,0,1,0.24,1.999305556,0.06,0.0,91,2011,1,29
255,2011-09-01,16,3,0,4,1,1,0.051388889,4.629861111,0.51,0.134722222,308,2011,9,1
256,2011-09-18,23,3,0,0,0,1,0.54,3.577777778,0.047222222,0.134722222,54,2011,9,18
257,2012-06-01,13,2,0,5,1,1,0.05,4.734722222,0.07,2.072916667,316,2012,6,1
258,2012-01-18,3,1,0,3,1,2,0.44,3.051388889,0.51,3.420138889,4,2012,1,18
259,2012-07-24,6,3,0,2,1,1,0.045833333,4.209027778,0.057638889,0.932638889,190,2012,7,24
260,2012-07-01,20,3,0,0,0,1,0.058333333,5.155555556,0.39,0.932638889,332,2012,7,1
261,2011-02-26,15,1,0,6,0,2,0.36,2.314583333,0.04,1.969444444,165,2011,2,26
262,2012-08-25,8,3,0,6,0,2,0.045833333,4.313888889,0.051388889,1.761805556,162,2012,8,25
263,2011-02-15,18,1,0,2,1,1,0.03,0.210416667,0.22,0.932638889,212,2011,2,15
264,2011-01-19,14,1,0,3,1,1,0.04,2.840972222,0.58,1.761805556,75,2011,1,19
265,2012-12-05,15,4,0,3,1,1,0.48,3.261805556,0.33,1.969444444,285,2012,12,5
266,2012-03-17,4,1,0,6,0,2,0.42,2.945833333,0.065277778,0.0,2,2012,3,17
267,2012-11-08,1,4,0,4,1,3,0.03,1.89375,0.52,2.4875,12,2012,11,8
268,2011-03-11,18,1,0,5,1,1,0.32,0.210416667,0.49,2.280555556,153,2011,3,11
269,2012-02-17,14,1,0,5,1,1,0.04,2.840972222,0.37,2.4875,170,2012,2,17
270,2012-05-12,6,2,0,6,0,1,0.42,2.945833333,0.046527778,0.622222222,33,2012,5,12
271,2012-09-22,11,3,0,6,0,1,0.07,4.524305556,0.58,1.969444444,626,2012,9,22
272,2012-08-29,3,3,0,3,1,1,0.043055556,4.103472222,0.050694444,0.725694444,9,2012,8,29
